응답자 ID,Training 선호 스타일,Training 비선호 스타일,Validation 선호 스타일,Validation 비선호 스타일
65536,W_17015_10_sportivecasual_M_182498.json,W_07114_19_normcore_M_182513.json,,
65537,"W_06656_60_mods_M_182546.json, T_03996_90_hiphop_M_182574.json, T_02526_80_bold_M_182581.json","W_16725_70_hippie_M_182572.json, W_24977_70_hippie_M_182539.json",,
65538,,W_40873_90_kitsch_W_182608.json,,
65540,,W_51074_00_metrosexual_M_182658.json,,
65542,,,W_03685_10_athleisure_W_182698.json,
65543,"T_05818_00_cityglam_W_182753.json, T_07445_60_minimal_W_182733.json",W_21487_70_punk_W_182734.json,,
12,W_03412_50_classic_W_000041.json,,W_03412_50_classic_W_000041.json,W_02651_50_feminine_W_000008.json
65558,"W_26237_50_ivy_M_182786.json, W_06824_19_normcore_M_182770.json",,,
32791,"T_16027_10_sportivecasual_M_058104.json, T_16010_10_sportivecasual_M_058092.json, T_15974_10_sportivecasual_M_058074.json, T_16016_10_sportivecasual_M_058086.json","T_15987_10_sportivecasual_M_058070.json, T_16023_10_sportivecasual_M_058095.json, T_16025_10_sportivecasual_M_058089.json, T_16007_10_sportivecasual_M_058098.json, T_16014_10_sportivecasual_M_058093.json",,
25,"T_01475_10_sportivecasual_M_000093.json, T_16423_10_sportivecasual_M_000089.json, T_14304_60_mods_M_000059.json",W_12740_00_metrosexual_M_000088.json,,
26,T_09447_19_lounge_W_000139.json,W_18990_50_feminine_W_000132.json,,
27,"W_17957_80_bold_M_000168.json, W_17260_19_normcore_M_000172.json, W_15268_50_ivy_M_000165.json, W_03007_70_hippie_M_000151.json, W_16068_80_bold_M_000152.json, W_10810_60_mods_M_000191.json","W_10814_50_ivy_M_000190.json, W_06563_70_hippie_M_000159.json, W_07347_90_hiphop_M_000161.json, W_15212_60_mods_M_000150.json","W_06522_50_ivy_M_000174.json, W_07120_19_normcore_M_000198.json, W_17697_50_ivy_M_000157.json",
65562,,W_24816_80_bold_M_182914.json,,
65565,,W_16412_10_sportivecasual_M_182954.json,,W_27899_70_hippie_M_182942.json
30,"W_63984_80_powersuit_W_000227.json, W_18249_50_feminine_W_000232.json",W_49287_70_punk_W_000226.json,W_18249_50_feminine_W_000232.json,
65568,,,,W_33259_70_hippie_M_182993.json
65571,,"W_24810_80_bold_M_183066.json, W_33162_19_normcore_M_183077.json",,
65579,,"W_27890_70_hippie_M_183184.json, W_26395_90_hiphop_M_183200.json",,W_33259_70_hippie_M_183206.json
65580,,W_05740_70_military_W_183254.json,W_11235_50_classic_W_183252.json,
49199,"T_16380_10_sportivecasual_M_067444.json, T_16386_10_sportivecasual_M_067446.json","T_16259_10_sportivecasual_M_067409.json, T_16393_10_sportivecasual_M_067447.json, T_16291_10_sportivecasual_M_067425.json, T_16401_10_sportivecasual_M_067433.json, T_16281_10_sportivecasual_M_067414.json, T_16289_10_sportivecasual_M_067424.json, T_16269_10_sportivecasual_M_067404.json, T_16403_10_sportivecasual_M_067441.json, T_16383_10_sportivecasual_M_067445.json",,
65583,W_16858_19_normcore_M_183297.json,,,
65585,W_66114_50_ivy_M_183359.json,W_28141_19_normcore_M_183372.json,,W_28141_19_normcore_M_183372.json
65586,W_04743_19_normcore_M_183423.json,,,
53,"T_07099_19_genderless_W_000273.json, W_18171_50_feminine_W_000257.json, W_14211_60_minimal_W_000258.json",W_42244_60_minimal_W_000250.json,,
49207,W_14478_70_disco_W_067494.json,W_06439_50_feminine_W_067451.json,,
32825,T_05786_19_genderless_W_058113.json,"T_12977_10_sportivecasual_W_058145.json, W_33459_60_space_W_058123.json",,
65596,W_03699_50_classic_W_183630.json,W_52969_00_ecology_W_183660.json,,
65597,,W_15787_10_sportivecasual_M_183676.json,,
49214,"W_26584_50_ivy_M_067501.json, W_02754_70_hippie_M_067536.json, W_00004_50_ivy_M_067526.json, W_15681_80_bold_M_067529.json, W_02816_60_mods_M_067543.json","W_24728_60_mods_M_067527.json, W_25885_10_sportivecasual_M_067507.json, W_23937_50_ivy_M_067509.json, W_07380_19_normcore_M_067533.json, W_15235_80_bold_M_067545.json, W_17245_70_hippie_M_067511.json","W_15319_50_ivy_M_067534.json, W_00004_50_ivy_M_067526.json, W_02816_60_mods_M_067543.json",
65599,W_16065_19_normcore_M_183752.json,,,
65602,W_17535_70_hippie_M_183805.json,W_31784_00_metrosexual_M_183794.json,,
67,T_16846_70_hippie_W_000342.json,,,
65605,W_30998_19_normcore_M_183869.json,,,
49224,,T_10139_19_lounge_W_067574.json,,
65613,,W_28879_10_sportivecasual_M_183978.json,,
81,T_02054_10_athleisure_W_000396.json,,,
65617,"W_07605_50_feminine_W_184076.json, T_00366_60_minimal_W_184077.json",T_02881_80_bodyconscious_W_184088.json,,
65623,W_06822_19_normcore_M_184138.json,W_31620_19_normcore_M_184145.json,,
32860,W_37404_60_space_W_058173.json,T_12142_00_ecology_W_058186.json,W_37404_60_space_W_058173.json,
65631,"T_03044_19_normcore_M_184191.json, T_15453_10_sportivecasual_M_184190.json, W_51757_50_ivy_M_184161.json, W_07286_70_hippie_M_184178.json",W_28177_70_hippie_M_184155.json,,
32864,"T_17611_19_normcore_M_058254.json, W_16188_80_bold_M_058234.json, W_16121_80_bold_M_058209.json, W_25069_90_hiphop_M_058218.json",,W_16121_80_bold_M_058209.json,
65632,,W_39449_80_powersuit_W_184220.json,,
65636,,"W_06570_70_hippie_M_184307.json, W_17112_19_normcore_M_184305.json",,
65639,,W_25391_00_metrosexual_M_184340.json,,
65642,"T_05437_19_lounge_W_184433.json, W_34093_60_minimal_W_184443.json",W_18205_50_feminine_W_184401.json,W_34093_60_minimal_W_184443.json,W_18205_50_feminine_W_184401.json
65643,W_06222_19_normcore_M_184457.json,,,
65645,"T_21096_70_punk_W_184510.json, T_21868_70_punk_W_184535.json",,,
65649,,W_25039_90_hiphop_M_184592.json,,
65650,,W_53601_80_bold_M_184635.json,,
65654,W_29214_10_sportivecasual_M_184726.json,"W_17040_19_normcore_M_184741.json, W_17535_70_hippie_M_184722.json",,
65655,"T_07886_50_classic_W_184781.json, T_10655_60_minimal_W_184799.json, T_05893_10_sportivecasual_W_184804.json, T_01429_10_sportivecasual_W_184787.json",T_05278_00_cityglam_W_184811.json,,
65656,W_27747_19_normcore_M_184857.json,W_27463_70_hippie_M_184838.json,,
65658,W_65792_80_bold_M_184875.json,W_24111_70_hippie_M_184889.json,,
