?‘ë‹µ??ë²ˆí˜¸,?‘ë‹µ??ID,Training ?¤í???? í˜¸,Training ?¤í???ë¹„ì„ ??Validation ?¤í???? í˜¸,Validation ?¤í???ë¹„ì„ ??0,
0,64747,W_29783_10_sportivecasual_W.jpg    ,W_36644_00_oriental_W.jpg          ,W_46907_80_powersuit_W.jpg         ,W_34024_10_sportivecasual_W.jpg    
1,,W_46907_80_powersuit_W.jpg         ,W_34024_10_sportivecasual_W.jpg    ,W_44330_10_sportivecasual_W.jpg    ,W_14102_50_feminine_W.jpg          
2,,W_14901_90_kitsch_W.jpg            ,W_14102_50_feminine_W.jpg          ,W_39164_00_oriental_W.jpg          ,W_47169_70_hippie_W.jpg            
3,,W_31416_70_hippie_W.jpg            ,W_40876_70_punk_W.jpg              ,W_37491_70_military_W.jpg          ,W_02498_50_feminine_W.jpg          
4,,W_44330_10_sportivecasual_W.jpg    ,W_40690_80_bodyconscious_W.jpg     ,W_20598_70_military_W.jpg          ,W_11610_90_grunge_W.jpg            
5,,W_03194_50_classic_W.jpg           ,W_02247_50_classic_W.jpg           ,W_30988_90_kitsch_W.jpg            ,W_27828_60_minimal_W.jpg           
6,,W_30399_19_genderless_W.jpg        ,W_13904_50_feminine_W.jpg          ,W_38588_19_genderless_W.jpg        ,                                   
7,,W_20598_70_military_W.jpg          ,W_18951_50_feminine_W.jpg          ,W_22510_80_powersuit_W.jpg         ,                                   
8,,W_07894_00_cityglam_W.jpg          ,W_47169_70_hippie_W.jpg            ,W_05628_00_cityglam_W.jpg          ,                                   
9,,W_38629_80_powersuit_W.jpg         ,W_33026_90_hiphop_W.jpg            ,                                   ,                                   
10,,W_38421_10_athleisure_W.jpg        ,W_02498_50_feminine_W.jpg          ,                                   ,                                   
11,,W_21483_19_genderless_W.jpg        ,W_37025_19_lounge_W.jpg            ,                                   ,                                   
12,,W_34636_00_oriental_W.jpg          ,W_11610_90_grunge_W.jpg            ,                                   ,                                   
13,,W_21223_80_powersuit_W.jpg         ,W_27828_60_minimal_W.jpg           ,                                   ,                                   
14,,W_22057_19_genderless_W.jpg        ,W_42595_60_popart_W.jpg            ,                                   ,                                   
15,,W_30454_60_minimal_W.jpg           ,W_44386_80_powersuit_W.jpg         ,                                   ,                                   
16,,W_35674_60_minimal_W.jpg           ,W_41633_60_space_W.jpg             ,                                   ,                                   
17,,W_39725_19_normcore_W.jpg          ,W_38771_10_sportivecasual_W.jpg    ,                                   ,                                   
18,,W_30434_60_minimal_W.jpg           ,W_48378_90_grunge_W.jpg            ,                                   ,                                   
19,,W_04972_90_kitsch_W.jpg            ,W_03643_00_cityglam_W.jpg          ,                                   ,                                   
20,,W_48628_19_genderless_W.jpg        ,W_34573_10_sportivecasual_W.jpg    ,                                   ,                                   
21,,W_22510_80_powersuit_W.jpg         ,                                   ,                                   ,                                   
22,,W_37160_70_punk_W.jpg              ,                                   ,                                   ,                                   
23,,W_05628_00_cityglam_W.jpg          ,                                   ,                                   ,                                   
24,63405,W_00555_50_ivy_M.jpg               ,W_15472_70_hippie_M.jpg            ,W_01853_60_mods_M.jpg              ,W_16755_00_metrosexual_M.jpg       
25,,W_04206_60_mods_M.jpg              ,W_00530_10_sportivecasual_M.jpg    ,W_15294_50_ivy_M.jpg               ,W_12304_80_bold_M.jpg              
26,,W_12551_19_normcore_M.jpg          ,W_17454_80_bold_M.jpg              ,W_02879_90_hiphop_M.jpg            ,W_12904_50_ivy_M.jpg               
27,,W_17849_00_metrosexual_M.jpg       ,W_12456_10_sportivecasual_M.jpg    ,W_02677_60_mods_M.jpg              ,W_17443_90_hiphop_M.jpg            
28,,W_01853_60_mods_M.jpg              ,W_16755_00_metrosexual_M.jpg       ,W_06860_19_normcore_M.jpg          ,W_16501_70_hippie_M.jpg            
29,,W_06682_00_metrosexual_M.jpg       ,W_16736_00_metrosexual_M.jpg       ,W_04684_90_hiphop_M.jpg            ,W_07187_70_hippie_M.jpg            
30,,W_06785_50_ivy_M.jpg               ,W_17219_70_hippie_M.jpg            ,W_04522_50_ivy_M.jpg               ,W_15140_80_bold_M.jpg              
31,,W_17510_19_normcore_M.jpg          ,W_12383_80_bold_M.jpg              ,                                   ,                                   
32,,W_15400_60_mods_M.jpg              ,W_12904_50_ivy_M.jpg               ,                                   ,                                   
33,,W_00023_60_mods_M.jpg              ,W_17443_90_hiphop_M.jpg            ,                                   ,                                   
